"Member States:Spain",
"72-010-0001-0-001-001""ES8020260107""Excavadora bimodal 1000/1435/1668 T.ROBLES""Valid (Spain)""23/03/2026"
"11-075-0008-2-001-001""ES8020240299""Eurodual D28 ES 1435/1668""Valid (Spain)""26/02/2026"
"72-091-0002-8-001-001""ES8020260022""B45_003.00.00""Valid (Spain)""30/01/2026"
"11-075-0001-7-009-006""EU8020220072/EU8020250243/New authorisation: EU8020210238 / Extended area of use: EU8020210239""Eurodual E25/3/1.5 ES-FR-LU UIC Bogie""Valid (European Union)""14/01/2026"
"11-075-0001-7-008-004""Parent type authorisation: New authorisation: EU8020210238 / Extended area of use: EU8020210239 Extension to access to 1.5 kV in FR: EU8020220072""EURODUAL E25/3/1.5 ES-FR-LU Universal Bogie""Valid (European Union)""23/12/2025"
"77-009-0001-7-001-001""ES8020250330""Bimodal camion MK1 1000/1435/1668 T.ROBLES""Valid (Spain)""02/12/2025"
"13-364-0002-1-001-001""ES8020250322""Serie 463.2""Valid (Spain)""24/11/2025"
"11-075-0001-7-008-006""New authorisation: EU8020220181 / Extended area of use: EU8020220182""Univ bogie""Valid (European Union)""24/11/2025"
"11-075-0001-7-009-005""New authorisation: EU8020210238 / Extended area of use: EU8020210239""UIC bogie""Valid (European Union)""18/11/2025"
"72-013-0001-4-001-001""ES8020250309""DGS 62N 1000-1435-1668""Valid (Spain)""14/11/2025"
"13-364-0001-3-001-001""ES8020250307""Serie 464.2""Valid (Spain)""14/11/2025"
"71-209-0001-9-001-001""ES8020250299""R20_001.00.00""Valid (Spain)""05/11/2025"
"77-002-0001-2-001-001""ES8020250294""Excavadora Liebherr A900 C ZW 1435/1668 EXCAVACIONES Y OBRAS""Valid (Spain)""31/10/2025"
"13-378-0003-9-001-002""ES8020250270""Serie 470 ASFA INDRA con preinstalacion ERTMS""Valid (Spain)""06/10/2025"
"13-378-0002-1-001-001""ES8020250270""Serie 440.2R""Valid (Spain)""06/10/2025"
"13-378-0001-3-001-001""ES8020250270""Serie 440.3R""Valid (Spain)""06/10/2025"
"13-378-0003-9-001-001""ES8020250270""Serie 470 ASFA INDRA""Valid (Spain)""06/10/2025"
"13-018-0023-9-001-002""ES8020240305""TGV31200 3UF+ N1/N2 LZB UM""Valid (Spain)""26/09/2025"
"13-280-0001-1-001-001""ES8020220224""Serie 121""Valid (Spain)""26/09/2025"
"72-011-0002-6-001-001""ES8020250262""Unimat 08-4x4/4S_ASFA ES""Valid (Spain)""23/09/2025"
"72-011-0001-8-001-001""ES8020250262""Unimat 08-4x4/4S ES""Valid (Spain)""23/09/2025"
"72-005-0001-0-001-002""EU8020250171""R21_003.00.01""Valid (European Union)""12/09/2025"
"72-054-0001-8-001-001""ES8020250214""Dresina APV 520 MG SPAZIO 10""Valid (Spain)""12/09/2025"
"72-016-0001-7-001-002""EU8020240290""B66_004.00.01""Valid (European Union)""01/08/2025"
"72-005-0001-0-002-001""EU8020250171""R21_003.01.00""Valid (European Union)""18/07/2025"
"72-005-0001-0-001-001""EU8020250171""R21_003.00.00""Valid (European Union)""18/07/2025"
"13-319-0001-7-002-001""ES8020240286""Serie 465.2 ASFA Siemens""Valid (Spain)""11/07/2025"
"13-319-0001-7-001-001""ES8020240286""Serie 465.2""Valid (Spain)""11/07/2025"
"11-006-0003-8-001-002""ES8020220289""Eurolight diesel ES - Hybrid coupling - Universal bogie (1435)""Valid (Spain)""19/06/2025"
"13-018-0023-9-001-001""ES8020240305""TGV31200 3UF+ N1/N2 LZB""Valid (Spain)""23/05/2025"
"74-004-0001-1-001-001""ES8020250117""EM40 ADIF""Valid (Spain)""13/05/2025"
"11-075-0005-8-001-003""EU8020210243""EURODUAL E25/3 ES+""Valid (European Union)""13/05/2025"
"13-363-0002-3-001-001""ES8020250096""Serie 120.050""Valid (Spain)""16/04/2025"
"13-363-0001-5-001-001""ES8020250097""Serie 120""Valid (Spain)""16/04/2025"
"13-018-0003-1-002-001""EU8020240134""TGV 31200 3UH UM ES""Valid (European Union)""04/04/2025"
"51-191-0001-3-002-003""FR5920183002; LU59 2018 3028; EU8020210129; EU8020220245; EU8020220071""Wagon plat articulé et multiple Sdmrs (1) UIC 100W-2""Valid (European Union)""28/03/2025"
"51-191-0001-3-001-003""FR5920183001, LU59 2018 3027; EU8020210128; EU8020220244; EU8020220070""Wagon plat articulé et multiple Sdmrs (1) 100W-1""Valid (European Union)""28/03/2025"
"51-191-0001-3-002-005""FR5920183001, LU59 2018 3027; EU8020210128; EU8020220244; EU8020220070""Wagon plat articulé et multiple Sdmrs (1) UIC 100W-4""Valid (European Union)""28/03/2025"
"77-003-0001-0-001-001""ES8020240329""Bimodal PK 2R E2 01""Valid (Spain)""17/03/2025"
"71-029-0002-9-001-001""ES8020250045""DH-350.11-2A""Valid (Spain)""17/02/2025"
"71-297-0004-8-001-001""ES8020250049""Dumper DNDV-100 1000/1435/1668 AXOR RENTALS""Valid (Spain)""17/02/2025"
"71-297-0003-0-001-001""ES8020250046""Dumper DNDV-60 1000/1435/1668 AXOR RENTALS""Valid (Spain)""17/02/2025"
"13-188-0004-0-001-001""ES8020240251""Serie 529 RAM""Valid (Spain)""11/02/2025"
"11-075-0005-8-001-001""EU8020210243""EURODUAL E25/3 ES""Valid (European Union)""22/01/2025"
"71-117-0002-2-001-001""ES8020240328""UROMAC T-RAIL 1435/1668""Valid (Spain)""20/12/2024"
"51-426-0001-3-001-001""ES8020230029""Vagon 2SSag for silo_1000_SRSA""Valid (Spain)""12/12/2024"
"51-425-0001-5-001-001""ES8020230030""Vagon 2Tag for silo_1000_SRSA""Valid (Spain)""12/12/2024"
"13-188-0003-2-001-001""ES8020240250""Serie 527 RAM""Valid (Spain)""12/12/2024"
"11-075-0001-7-008-001""New authorisation: EU8020220181 / Extended area of use: EU8020220182""Eurodual E25/3/1.5 ES-FR-LU Universal bogie""Valid (European Union)""09/12/2024"
"11-075-0001-7-009-001""New authorisation: EU8020210238 / Extended area of use: EU8020210239""Eurodual E25/3/1.5 ES-FR-LU""Valid (European Union)""09/12/2024"
"72-016-0001-7-001-001""EU8020240290""B66_004.00.00""Valid (European Union)""05/12/2024"
"71-300-0001-6-001-001""ES8020240288""Excavadora bimodal O&H MH-5S 1435/1668 CONEXVIAS""Valid (Spain)""26/11/2024"
"71-300-0002-4-001-001""ES8020240287""Excavadora bimodal O&H MH-S 1435/1668 CONEXVIAS""Valid (Spain)""26/11/2024"
"11-063-0002-1-001-001""EU8020230060""IBEURO 4000 GSM-R (PT)""Valid (European Union)""24/10/2024"
"71-302-0002-0-001-001""ES8020240252""Bimodal camion MK2 1000/1435/1668 T.ROBLES""Valid (Spain)""18/10/2024"
"71-302-0001-2-001-001""ES8020240240""Bimodal camion L 1000/1435/1668 T.ROBLES""Valid (Spain)""04/10/2024"
"11-201-0003-5-001-001""ES8020240195""S/321 ALEGRIA ""Valid (Spain)""02/08/2024"
"71-297-0001-4-001-001""ES8020240192""Dumper DNDV-90 1000/1435/1668 AXOR RENTALS""Valid (Spain)""30/07/2024"
"11-107-0005-9-001-001""ES8020240179""S/333.3 CONVENSA""Valid (Spain)""25/07/2024"
"71-297-0002-2-001-001""ES8020240181""Dumper DNDW-90 1435/1668 AXOR RENTALS""Valid (Spain)""22/07/2024"
"13-018-0015-5-001-002""ES8020220304 ""TGV31200 3UF+ UM N1/N2""Valid (Spain)""03/07/2024"
"13-018-0017-1-001-002""ES8020230019 ""TGV31200 3UH+ UM N1/N2""Valid (Spain)""03/07/2024"
"13-297-0001-5-001-002""ES8020230234""Serie 106 AF ES GC 25/3 US 300""Valid (Spain)""11/06/2024"
"13-297-0001-5-002-001""ES8020230234""Serie 106 RD ES 25/3 US 300""Valid (Spain)""11/06/2024"
"13-297-0001-5-001-001""ES8020230234""Serie 106 AF ES 25/3 US 300""Valid (Spain)""11/06/2024"
"13-297-0001-5-002-002""ES8020230234""Serie 106 RD ES GC 25/3 US 300""Valid (Spain)""11/06/2024"
"71-241-0001-2-002-001""ES8020240121""VAIA CAR RF7 1435/1668 ACYGS""Valid (Spain)""13/05/2024"
"71-296-0001-6-001-001""ES8020240103""Excavadora CASE WX188 1435/1668 EUROIMPLEMENTOS""Valid (Spain)""18/04/2024"
"51-456-0001-0-001-001"" ES8020230315""Vagón REGS 1435/1668 REQUENA""Expired 20240101 (Spain)""12/03/2024"
"51-405-0002-5-001-001""ES8020230317""Vagon FACCS 1435/1668 REQUENA""Expired 20240101 (Spain)""12/03/2024"
"13-018-0015-5-001-001""ES8020220304""TGV31200 3UF+ UM N1/N2""Valid (Spain)""04/03/2024"
"13-018-0017-1-001-001""ES8020230019""TGV31200 3UH+ UM N1/N2""Valid (Spain)""04/03/2024"
"71-236-0001-2-001-001""ES8020240051""Bimodal excavadora KGT-V 1435 C.VILOR""Valid (Spain)""01/03/2024"
"71-103-0003-0-001-001""ES8020240032""Bimodal pick-up 1435/1668 T.ROBLES""Valid (Spain)""28/02/2024"
"71-174-0001-5-001-001""ES8020220166""USP-103 TT-HM-KE""Valid (Spain)""28/02/2024"
"13-017-0004-1-001-001""ES8020220213""V300ZEFIRO ES 25 US""Valid (Spain)""23/02/2024"
"11-201-0002-7-001-001""ES8020240028""S/321 GUINOVART""Valid (Spain)""23/02/2024"
"71-054-0002-7-001-001""ES8020220073""DGS NG""Valid (Spain)""16/02/2024"
"11-006-0003-8-001-001""ES8020220289""Eurolight diesel ES - Hybrid coupling""Valid (Spain)""16/02/2024"
"71-276-0001-8-001-001""ES8020240017""RR-18.AX2 PROSUTEC""Valid (Spain)""12/02/2024"
"71-075-0004-8-001-001""ES8020220265""Dresina APV 600 MG N SPAZIO 8""Valid (Spain)""12/02/2024"
"11-063-0001-3-001-001""ES5120170005; PT5120090001""new version of EURO 4000 v España Portugal""Valid (European Union)""07/02/2024"
"11-106-0013-5-001-001""ES8020240006""S/316 ALSA""Valid (Spain)""19/01/2024"
"71-079-0002-4-001-001""ES8020230218""B66_006.00.00""Valid (Spain)""20/12/2023"
"51-424-0003-4-001-001""EU8020230309""Vagon RES 19,90 m_ERSA""Valid (European Union)""18/12/2023"
"71-269-0001-3-001-001""ES8020230297""ZP-18.AX2-E""Valid (Spain)""13/12/2023"
"51-191-0005-4-001-003""EU8020220071""Wagon plat articulé et multiple Sdmrs (1) 100W-4""Valid (European Union)""27/11/2023"
"71-241-0002-0-001-001""ES8020230241""VAIA CAR RF8 ACYGS""Valid (Spain)""27/10/2023"
"11-150-0005-9-001-001""ES8020230242""S/269.0 ALEGRIA""Valid (Spain)""27/10/2023"
"51-191-0005-4-001-002""EU8020220071""Wagon plat articulé et multiple Sdmrs (1) 100W-2""Valid (European Union)""25/10/2023"
"51-191-0004-7-001-002""EU8020220070""Wagon plat articulé et multiple Sdmrs (1) 100W-1""Valid (European Union)""25/10/2023"
"51-191-0005-4-001-001""EU8020220071""Wagon plat articulé et multiple Sdmrs (1) 100W-2""Valid (European Union)""24/10/2023"
"51-191-0004-7-001-001""EU8020220070""Wagon plat articulé et multiple Sdmrs (1) 100W-1""Valid (European Union)""24/10/2023"
"11-205-0001-0-001-001""ES8020230210""Locomotora dual TD 2000 BB""Valid (Spain)""18/09/2023"
"71-262-0001-8-001-001""ES8020230154""Mitsubishi L200 1435/1668 EUROIMPLEMENTOS""Valid (Spain)""18/07/2023"
"13-018-0016-3-001-001""ES8020220260""TGV31200 3UH+ UM N1""Valid (Spain)""17/07/2023"
"71-242-0002-8-001-001""ES8020230131""Locotractor Zephir 1668 AKRA LEUKE""Valid (Spain)""20/06/2023"
"71-241-0001-2-001-001""ES8020220300""VAIA CAR RF7 ACYGS""Valid (Spain)""14/06/2023"
"11-117-0003-3-001-001""ES8020230103""S/310 ADIF [1435]""Valid (Spain)""30/05/2023"
"11-163-0001-1-001-001""ES8020230090""S/311 ADIF [1668]""Valid (Spain)""24/05/2023"
"71-244-0001-6-001-001""ES8020230032""PILOTADORA LIEBHERR 924 HL PARROS""Valid (Spain)""04/04/2023"
"71-116-0003-2-001-001""ES8020230049""Ferrocamion 1435/1668 PROFERR ""Valid (Spain)""17/03/2023"
"71-007-0003-3-001-001""ES8020230016""Excavadora bimodal Liebherr A900 C ZW 1435/1668 CONEXVIAS""Valid (Spain)""17/03/2023"
"71-141-0001-4-001-001""ES8020220293""B45 002.00.00""Valid (Spain)""20/12/2022"
"11-117-0002-5-001-001""ES8020220276""S/310 ADIF [1668]""Valid (Spain)""09/12/2022"
"71-231-0001-3-001-001""ES8020220179""Dumper Wacker Neuson DV90 PARROS""Valid (Spain)""14/11/2022"
"11-075-0001-7-008-003""New authorisation: EU8020220181 / Extended area of use: EU8020220182""EURODUAL E25/3/1.5 ES-FR-LU Universal Bogie""Valid (European Union)""11/11/2022"
"71-232-0001-1-001-001""ES8020220180""Retroexcavadora Mecalac 15MWR PARROS""Valid (Spain)""08/11/2022"
"71-230-0001-5-001-001""ES8020220178""Autohormigonera DIECI F7000 PARROS""Valid (Spain)""08/11/2022"
"13-018-0014-8-001-001""ES8020220149""TGV31200 3UF+""Valid (Spain)""07/11/2022"
"11-150-0002-6-001-001""ES8020220251""S/269.0 ATHOS""Valid (Spain)""07/11/2022"
"11-150-0003-4-001-001""ES8020220197""S/269.5 ATHOS""Valid (Spain)""23/09/2022"
"11-075-0005-8-001-002""EU8020210243""EURODUAL E25/3 ES""Valid (European Union)""15/09/2022"
"51-392-0001-7-001-001""EU8020210009""Lfgnss""Valid (European Union)""29/08/2022"
"11-110-0004-6-001-001""ES8020210031""Serie 316.2 RAM RENFM""Valid (Spain)""16/08/2022"
"11-110-0003-8-001-001""ES8020210047""Serie 316.2 RAM RENFV""Valid (Spain)""16/08/2022"
"11-150-0001-8-001-001""ES8020220040""S/269.4 ALSA""Valid (Spain)""11/07/2022"
"13-181-0004-5-001-001""ES8020210060""Serie 433 RAM""Valid (Spain)""07/07/2022"
"13-181-0005-2-001-001""ES8020210032""Serie 435 RAM""Valid (Spain)""06/07/2022"
"13-184-0002-3-001-001""ES8020210026""Serie 436 RAM""Valid (Spain)""06/07/2022"
"13-185-0002-0-001-001""ES8020210027""Serie 438 RAM""Valid (Spain)""06/07/2022"
"13-186-0002-8-001-001""ES8020210033""Serie 524 RAM""Valid (Spain)""06/07/2022"
"13-187-0002-6-001-001""ES8020210044""Serie 526 RAM""Valid (Spain)""06/07/2022"
"11-111-0002-8-001-001""ES8020210046""Serie 619 RAM RENFV""Valid (Spain)""06/07/2022"
"71-098-0004-0-001-001""ES8020220148""Nissan pick-up NP 300_Cat.9c_1435/1668_SICE""Valid (Spain)""01/07/2022"
"11-111-0003-6-001-001""ES8020210028""Serie 619 RAM RENFM""Valid (Spain)""27/06/2022"
"71-200-0001-8-001-001""ES8020220108""Vehículo bimodal 114L6X4UI_Cat.9c_1435/1668_Indemain""Valid (Spain)""03/05/2022"
"71-101-0002-6-001-001""ES8020220087""Bimodal UNIMOG U 1450 con torre y grua ""Valid (Spain)""19/04/2022"
"51-262-0001-2-001-001""EU8020220018""new variant of Tagnpps 95m3 ""Valid (European Union)""26/01/2022"
"13-018-0011-4-001-001""ES8020210056""TGV31200 3UH+""Valid (Spain)""27/12/2021"
"13-018-0011-4-002-001""ES8020210251""TGV31200 3UH+ UM""Valid (Spain)""26/12/2021"
"51-405-0001-7-001-001""EU8020210235""VAGON TOLVA FACCS""Valid (European Union)""15/12/2021"
"71-098-0002-4-001-001""ES8020210228""Pick-up Nissan Navara 1435/1668 INDEMAIN""Valid (Spain)""03/12/2021"
"71-007-0002-5-001-001""ES8020210223""Excavadora bimodal Liebherr A900 C ZW rail""Valid (Spain)""01/12/2021"
"71-100-0001-0-001-001""ES8020210220""Palfinger Bimodal IVECO BPG""Valid (Spain)""26/11/2021"
"71-103-0002-2-001-001""ES8020210219""Bimodal Toyota Hilux 1435/1668 GIS""Valid (Spain)""26/11/2021"
"71-117-0001-4-001-001""ES8020210185""Bimodal UROMAC T-Rail 1435""Valid (Spain)""26/10/2021"
"71-098-0003-2-001-001""ES8020210164""Nissan Navara_Cat.9c_1435/1668_FERROVIAL""Valid (Spain)""27/09/2021"
