codigo_linea,numero_rfig,nombre,n_estaciones,n_municipios,municipios,provincias
02218,218,BIF. PLAZA-ZARAGOZA-PLAZA,3,1,Zaragoza,Zaragoza
02220,220,LLEIDA-PIRINEUS-L HOSPITALET DE LLOBREGAT,13,10,Lleida > Cervera > Sant Guim de Freixenet > Manresa > Sant Vicenç de Castellet > Terrassa > L'Hospitalet de Llobregat > Cerdanyola del Vallès > Barcelona > Montcada i Reixac,Lleida · Barcelona
02222,222,MONTCADA-BIFURCA-LA TOUR DE CAROL,13,12,Barcelona > Montcada i Reixac > Granollers > Les Franqueses del Vallès > La Garriga > Vic > Montesquiu > Ripoll > Ribes de Freser > Planoles > Puigcerdà > Guils de Cerdanya,Barcelona · Girona
02224,224,CERDANYOLA UNIV.-CERDANYOLA VALLE,2,1,Cerdanyola del Vallès,Barcelona
02230,230,PLANA-PICAMOIXON-REUS,2,2,Reus > Valls,Tarragona
02234,234,REUS-RODA DE BARA,3,3,Reus > Constantí > Roda de Berà,Tarragona
02238,238,CASTELLBISBAL-AGUJAS LLOBREGAT -BARCELONA-MORROT,6,5,Castellbisbal > El Papiol > Pallejà > L'Hospitalet de Llobregat > Barcelona,Barcelona
02240,240,S.VICENÇ CALDERS-L HOSPITALET DE LLOBREGAT,16,10,El Vendrell > L'Arboç > Vilafranca del Penedès > Sant Sadurní d'Anoia > Sant Esteve Sesrovires > Martorell > Castellbisbal > El Papiol > Molins de Rei > L'Hospitalet de Llobregat,Tarragona · Barcelona
02242,242,MARTORELL-SEAT-AGUJA KM. 71.185,3,2,Martorell > Sant Esteve Sesrovires,Barcelona
02244,244,AGUJA KM. 0.500-AGUJA KM. 70.477,2,1,Sant Esteve Sesrovires,Barcelona
02246,246,CASTELLBISBAL AGUJAS RUBI-MOLLET-SANT FOST,10,5,Mollet del Vallès > Santa Perpètua de Mogoda > Cerdanyola del Vallès > Rubí > Castellbisbal,Barcelona
02248,248,BIF. RUBI-BIF. PAPIOL,4,1,Castellbisbal,Barcelona
02250,250,"L HOSPITALET DE LLOBREGAT-BELLVITGE-AG. KM. 674,8",2,1,L'Hospitalet de Llobregat,Barcelona
02254,254,EL PRAT DE LLOBREGAT-AEROPORT,2,1,El Prat de Llobregat,Barcelona
02260,260,VILAMALLA - FIGUERES VILAFANT,6,3,Vilafant > Vilamalla > Barcelona,Girona · Barcelona
02262,262,BIF CLOT-BARNA-SAGRERA,5,1,Barcelona,Barcelona
02264,264,MONTCADA-BIFURCA-BIF. AIGÜES,2,2,Barcelona > Montcada i Reixac,Barcelona
02266,266,BIF.VILANOVA-BIF.GLORIAS,2,1,Barcelona,Barcelona
02268,268,BIF. SAGRERA-BIF. ARAGO,5,1,Barcelona,Barcelona
02270,270,BIF. SAGRERA-CERBERE,25,15,Barcelona > Montcada i Reixac > La Llagosta > Mollet del Vallès > Montmeló > Montornès del Vallès > Granollers > Sant Celoni > Gualba > Maçanet de la Selva > Fornells de la Selva > Girona > Vilamalla > Figueres > Portbou,Barcelona · Girona
02272,272,BIF. GIRONA-GIRONA-MERCADERI,2,2,Fornells de la Selva > Girona,Girona
02274,274,PORTBOU-CERBERE,4,1,Portbou,Girona
02276,276,BARNA-SAGRERA-MAÇANET-MASSANES,13,7,L'Hospitalet de Llobregat > Barcelona > Mataró > Arenys de Mar > Calella > Blanes > Maçanet de la Selva,Barcelona · Girona
02278,278,BIF S. ANDREU - BARNA-S.A.COMTAL,4,3,Santa Perpètua de Mogoda > La Llagosta > Barcelona,Barcelona
02282,282,"CAMBIADOR PLASENCIA AG.KM. 308,6-CAMBIADOR PLASENCIA",2,1,Plasencia de Jalón,Zaragoza
02284,284,"CIM AGUJA KM. 337,1-CIM AGUJA KM. 0,7",2,1,Zaragoza,Zaragoza
02286,286,"LA CARTUJA-AG. KM. 23,3-LA CARTUJA-AG. KM. 351,1",2,1,Zaragoza,Zaragoza
02288,288,"MIRAFLORES-AG. KM. 345,6-MIRAFLORES-AG. KM. 0,9",2,1,Zaragoza,Zaragoza
02290,290,"CIM-AGJ KM. 337,1-CAMB. ZARAGOZA-DELICIAS",2,1,Zaragoza,Zaragoza
02294,294,RODA CAMB. DE ANCHO-RODA DE BARA,2,1,Roda de Berà,Tarragona
02610,610,BIF. TERUEL-SAGUNT,16,14,Sagunt > Gilet > Estivella > Soneja > Caudiel > Barracas > Teruel > Santa Eulalia > Caminreal > Calamocha > Badules > Cariñena > María de Huerva > Zaragoza,València · Castelló · Teruel · Zaragoza
02612,612,"SAGUNT-AG. KM. 268,8-SAGUNT-AG. KM. 28,3",2,1,Sagunt,València
02622,622,"AGUJA CLASIF. KM. 272,0 - TARRAGONA-MERCADERIES",2,1,Tarragona,Tarragona
02624,624,AG.CLAS.KM 100.4-TARRAGONA,3,1,Tarragona,Tarragona
02630,630,PORT AVENTURA - TARRAGONA,4,2,Salou > Tarragona,Tarragona
02702,702,GRISEN-CABAÑAS DE EBRO,2,2,Cabañas de Ebro > Grisén,Zaragoza
02902,902,PITIS-BIF.HORTALEZA,5,1,Madrid,Madrid
02906,906,MADRID CHAMARTIN-FUENCARRAL-COMPLEJO,2,1,Madrid,Madrid
02908,908,HORTALEZA - BARAJAS -T4,2,1,Madrid,Madrid
02930,930,MADRID AT. CERCA-SAN FERNANDO DE HENARES,7,2,Madrid > Coslada,Madrid
02932,932,MADRID AT. CERCA-MADRID-S. CATAL.,4,1,Madrid,Madrid
02938,938,MADRID AT. CERCA-ASAMBLEA MADRID-ENTREVIAS,5,1,Madrid,Madrid
02940,940,"O,DONNELL-VICALVARO-CLASIF",3,2,Madrid > Coslada,Madrid
02942,942,VALLECAS-IND.-VILLAVERDE BAJO,3,1,Madrid,Madrid
02944,944,VICALVARO-BIF CLASIF-VICAL,3,1,Madrid,Madrid
02948,948,VICALVARO-CLASIFICACION-BIF. VIACLVAO-CLASIFICACION,4,2,Madrid > Coslada,Madrid
03300,300,MADRID CHAMARTÍN-VALENCIA-NORD,36,20,Xàtiva > Vallada > Moixent > Silla > la Font de la Figuera > Villena > Benetússer > València > Almansa > Chinchilla de Monte-Aragón > Albacete > La Roda > Villarrobledo > Socuéllamos > Alcázar de San Juan > Quero > Villacañas > Aranjuez > Pinto > Madrid,València · Alacant · Albacete · Ciudad Real · Toledo · Madrid
03302,302,AGU.CLA KM.146.1-ALCAZAR DE SAN JUAN,3,1,Alcázar de San Juan,Ciudad Real
03304,304,ALFAFAR-BENETUSS-BIF.CLAS.V.FS.LU,4,2,Benetússer > València,València
03306,306,"S. VICENTE DE RASPEIG-S. VICENTE RASP. AGJ KM. 448,7",3,2,Sant Vicent del Raspeig > Alacant,Alacant
03310,310,ARANJUEZ-VALENCIA SANT ISIDRE,12,10,València > Buñol > Utiel > Camporrobles > Carboneras de Guadazaón > Cuenca > Huete > Tarancón > Santa Cruz de la Zarza > Aranjuez,València · Cuenca · Toledo · Madrid
03312,312,CASTILLEJO-AÑOVER-ALGODOR,2,1,Aranjuez,Madrid
03314,314,XIRIVELLA L'ALTER-VALENCIA-SANT ISIDRE,3,3,València > Xirivella > Quart de Poblet,València
03316,316,PINTO-SAN MARTIN DE LA VEGA,2,2,Pinto > San Martín de la Vega,Madrid
03318,318,"CAMBIADOR ALBACETE - ALBACETE-AGUJA KM. 279,4",2,1,Albacete,Albacete
03320,320,"CHINCHILLA MONTEAR.AG.KM.298,4-CARTAGENA",16,8,Chinchilla de Monte-Aragón > Hellín > Cieza > Calasparra > Alguazas > Alcantarilla > Murcia > Cartagena,Albacete · Murcia
03322,322,MURCIA CARGAS-AGUILAS,6,5,Murcia > Alcantarilla > Lorca > Águilas > Pulpí,Murcia · Almería
03324,324,"CARTAGENA-AGUJA KM.0,8",2,1,Cartagena,Murcia
03326,326,AGUJA E.KM.523.2-ESCOMBRERAS,5,1,Cartagena,Murcia
03330,330,LA ENCINA-ALACANT-TERMINAL,8,4,Alacant > Sant Vicent del Raspeig > Villena > Caudete,Alacant · Albacete
03332,332,CAUDETE-BIF. ALACANT,2,2,Villena > Caudete,Alacant · Albacete
03334,334,SANT GABRIEL-ALACANT-BENALUA,2,1,Alacant,Alacant
03336,336,EL REGUERON-ALACANT-TERMINAL,8,5,Alacant > San Isidro > Orihuela > Beniel > Murcia,Alacant · Murcia
03338,338,CAMBIADOR VALENCIA - VALENCIA-JOAQUIM SOROLLA,2,1,València,València
03340,340,"BIF. VALLADA-XATIVA-AG. KM. 47,0",5,4,Moixent > Vallada > l'Alcúdia de Crespins > Xàtiva,València
03342,342,XATIVA-ALCOI,3,3,Xàtiva > Ontinyent > Alcoi,València · Alacant
03344,344,SILLA-GANDIA,4,3,Silla > Cullera > Gandia,València
03346,346,GANDIA-MERCADER.-GANDIA PORT,3,1,Gandia,València
03348,348,SILLA-FORD,3,2,Silla > Almussafes,València
03350,350,BIF. BENALUA - BIF. ALACANT,2,1,Alacant,Alacant
03352,352,"EL REGUERON AG KM 522,1-CARTAGENA",3,2,Murcia > Cartagena,Murcia
03600,600,VALENCIA-NORD-S.VICENÇ CALDERS,32,17,València > Puçol > Sagunt > Almenara > Vila-real > Castelló de la Plana > Orpesa > Vinaròs > Ulldecona > L'Aldea > Vandellòs i l'Hospitalet de l'Infant > Cambrils > Salou > Vila-seca > Reus > Tarragona > El Vendrell,València · Castelló · Tarragona
03602,602,"FSL-AG KM 2,3-VALENC-PTO NORTE",4,1,València,València
03604,604,LES PALMES-CASTELLO-PORT,2,1,Castelló de la Plana,Castelló
03606,606,"VFSL-AG.KM.1,3-VALENCIA-PTO SUR",5,1,València,València
03608,608,"CLASIF. V.F.S.L.-V-FSL-AG KM 1,6",2,1,València,València
03614,614,VALENCIA-JOAQUIM SOROLLA - VALENCIA-AGUJA ESTACION A.V.,2,1,València,València
03620,620,TORTOSA-L ALDEA-AMPOSTA,2,2,L'Aldea > Tortosa,Tarragona
03632,632,BIF. LA FEDERAT-BIF. VILA-SECA,2,1,Vila-seca,Tarragona
03900,900,MADRID AT. CERCA-MADRID-CHAMARTIN,2,1,Madrid,Madrid
03916,916,MADRID-S. CATAL.-DELICIAS,4,1,Madrid,Madrid
03934,934,BIF. REBOLLEDO-MADRID-ABROÑIGAL,3,1,Madrid,Madrid
03936,936,VILLAVERDE BAJO-SAN CRISTOBAL INDUSTRIAL,3,1,Madrid,Madrid
03946,946,VILLAVERDE BAJO-MADRID-S. CATAL.,2,1,Madrid,Madrid
03950,950,MADRID AT. CERCA-AGUJA KM. 1.4,2,1,Madrid,Madrid
04400,400,ALCAZAR SAN JUAN-CADIZ,37,24,Alcázar de San Juan > Manzanares > Valdepeñas > Santa Cruz de Mudela > Almuradiel > Linares > Mengíbar > Espeluy > Andújar > Marmolejo > Córdoba > Palma del Río > Lora del Río > Tocina > La Rinconada > Sevilla > Dos Hermanas > Utrera > Lebrija > Jerez de la Frontera > El Puerto de Santa María > Puerto Real > Cádiz > San Fernando,Ciudad Real · Jaén · Córdoba · Sevilla · Cádiz
04402,402,"BIF.ESPELUY-AGUJA KM. 340,1-JAEN",4,2,Mengíbar > Jaén,Jaén
04404,404,"BIF. ESPELUY-AGUJA KM. 338,8-BIF. ESPELUY-AGUJA KM. 150,5",2,1,Mengíbar,Jaén
04406,406,LAS ALETAS-UNIVERSIDAD DE CADIZ,2,1,Puerto Real,Cádiz
04408,408,"ALCOLEA AG KM 431,9-CAMBIADOR ALCOLEA",2,1,Córdoba,Córdoba
04410,410,LINARES BAEZA-ALMERIA,11,10,Linares > Úbeda > Cabra del Santo Cristo > Morelábor > Guadix > La Calahorra > Huéneja > Fiñana > Santa Fe de Mondújar > Almería,Jaén · Granada · Almería
04412,412,HUENEJA-DOLAR-MINAS DEL MARQUESADO,2,2,Huéneja > Alquife,Granada
04414,414,BIF.ALMERIA-BIF.GRANADA,2,1,Morelábor,Granada
04416,416,MOREDA-GRANADA,6,3,Granada > Albolote > Morelábor,Granada
04418,418,"A-S ANA AGJ. KM. 48,3-A-S ANA AGJ. KM. 50,4",3,2,Fuente de Piedra > Antequera,Málaga
04420,420,BIF. MARAVILLAS-ALGECIRAS,9,7,Antequera > Almargen > Ronda > Cortes de la Frontera > Castellar de la Frontera > San Roque > Algeciras,Málaga · Cádiz
04422,422,BIF. UTRERA-FUENTE DE PIEDRA,8,7,Utrera > Alcalá de Guadaíra > Arahal > Osuna > Gilena > Pedrera > Fuente de Piedra,Sevilla · Málaga
04424,424,BIF. MALAGA-LA RODA ANDALUCIA,2,2,La Roda de Andalucía > Pedrera,Sevilla
04426,426,GRANADA-FUENTE DE PIEDRA,10,6,Fuente de Piedra > Antequera > Archidona > Loja > Íllora > Granada,Málaga · Granada
04428,428,"CAMBIADOR ANTEQUERA-A-S ANA AGJA. KM. 50,4",2,1,Antequera,Málaga
04430,430,BIF CORDOBA - EL HIGUERON-LOS PRADOS,15,8,Málaga > Álora > Antequera > Fuente de Piedra > La Roda de Andalucía > Puente Genil > Montilla > Córdoba,Málaga · Sevilla · Córdoba
04432,432,CORDOBA-CENTRAL-EL HIGUERON,3,1,Córdoba,Córdoba
04434,434,CAMBIADOR CORDOBA-VALCHILLON,2,1,Córdoba,Córdoba
04436,436,MARIA ZAMBRANO-FUENGIROLA,5,2,Málaga > Fuengirola,Málaga
04438,438,"HUELVA-MERCANCIAS AG. KM. 107,4-ACCESO PUERTO DE HUELVA",3,2,Huelva > Palos de la Frontera,Huelva
04440,440,BIF.LOS NARANJOS-HUELVA-TERMINO,11,8,Huelva > La Palma del Condado > Escacena del Campo > Benacazón > Camas > Santiponce > Sevilla > La Rinconada,Huelva · Sevilla
04442,442,CAMBIADOR MAJARABIQUE-BIF.LOS NARANJOS,2,2,Sevilla > La Rinconada,Sevilla
04444,444,BIF.TAMARGUILLO-LA SALUD,5,1,Sevilla,Sevilla
04446,446,BIF.CARTUJA-CARTUJA,2,2,Santiponce > Sevilla,Sevilla
04448,448,BIF.LOS NARANJOS-BIF.SAN JERONIMO,2,1,Sevilla,Sevilla
04450,450,BIF.S.BERNARDO-BIF.LA NEGRILLA,2,1,Sevilla,Sevilla
04452,452,PUERTO   SEVILLA-LA SALUD,3,1,Sevilla,Sevilla
04454,454,CAMBIADOR MAJARABIQUE-BIF. SAN JERONIMO,2,2,Sevilla > La Rinconada,Sevilla
04456,456,"LA SALUD AGJ. KM. 6,2-LA SALUD AGJ. KM. 10,2",2,1,Sevilla,Sevilla
04458,458,MAJARABIQUE-ESTACION - BIF.SAN JERONIMO,2,2,La Rinconada > Sevilla,Sevilla
04460,460,BIF. RIOFRIO-FUENTE DE PIEDRA,7,4,Fuente de Piedra > Antequera > Archidona > Loja,Málaga · Granada
04464,464,BIF. TOCON-BIF. LA CHANA,2,2,Granada > Íllora,Granada
04466,466,BIF. RIOFRIO-ANTEQUERA,3,3,Loja > Archidona > Antequera,Granada · Málaga
04468,468,BIF. LAS MARAVILLAS-ANTEQUERA AV,3,1,Antequera,Málaga
04490,490,"GRANADA AG. KM 53,273-CAMBIADOR GRANADA",2,1,Granada,Granada
04492,492,"CAMBIADOR GRANADA-GRANADA AG. KM 54,289",2,1,Granada,Granada
04508,508,"BADAJOZ - KM.517,6 FRNTERA",2,1,Badajoz,Badajoz
04512,512,ZAFRA-HUELVA-CARGAS,7,7,Huelva > Gibraleón > Calañas > Cortegana > Jabugo > Fregenal de la Sierra > Zafra,Huelva · Badajoz
04514,514,ZAFRA-JEREZ CABALLEROS,3,3,Zafra > Alconera > Jerez de los Caballeros,Badajoz
04516,516,MERIDA-LOS ROSALES,8,8,Mérida > Zafra > Llerena > Fuente del Arco > Cazalla de la Sierra > El Pedroso > Villanueva del Río y Minas > Tocina,Badajoz · Sevilla
04520,520,CIUDAD REAL-BADAJOZ,21,13,Badajoz > Montijo > La Garrovilla > Mérida > Valdetorres > Villanueva de la Serena > Cabeza del Buey > Guadalmez > Almodóvar del Campo > Puertollano > Villamayor de Calatrava > Ciudad Real > Miguelturra,Badajoz · Ciudad Real
04522,522,MANZANARES-CIUDAD REAL,4,4,Manzanares > Almagro > Miguelturra > Ciudad Real,Ciudad Real
04524,524,C.REAL-MIGUELTUR-BIF.POBLETE,2,1,Miguelturra,Ciudad Real
04526,526,PUERTOLLANO-PUERTOLLANO-REFINERIA,3,1,Puertollano,Ciudad Real
04528,528,ALMORCHON-MIRABUENO,5,5,Cabeza del Buey > Peñarroya-Pueblonuevo > Villanueva del Rey > Espiel > Córdoba,Badajoz · Córdoba
05500,500,BIF. PLANETARIO-VALENCIA ALCANTARA,22,17,Madrid > Leganés > Fuenlabrada > Humanes de Madrid > Griñón > Illescas > Villaluenga de la Sagra > Torrijos > Talavera de la Reina > Oropesa > Navalmoral de la Mata > Malpartida de Plasencia > Garrovillas de Alconétar > Cáceres > Herreruela > San Vicente de Alcántara > Valencia de Alcántara,Madrid · Toledo · Cáceres · Badajoz
